symbol,company_name,longBusinessSummary,industry,sector,country,is_rated_obligor,totalDebt_usd,totalRevenue_usd,Agency Rating,cb_rating,CB pd
ANCTF,Alimentation Couche-Tard Inc.,"Alimentation Couche-Tard Inc. operates and licenses convenience stores in North America, Europe, and Asia. It offers cigarette products and other nicotine products, beverages, beer, wine, fresh food offerings comprising quick service restaurants, candy and snacks, grocery items, and car wash and other services; road transportation fuels and operates electric vehicles charging stations; sells energy for stationary engines and aviation fuels; sells lottery tickets, and calling and gift cards; and automatic teller machines. The company operates its convenience stores chain under various banners, including Circle K, Couche-Tard, Holiday, and Ingo. In addition, it operates and licenses stores operated under the Circle K banner in Egypt, Guam, Guatemala, Honduras, Indonesia, Macau, Mexico, New Zealand, Saudi Arabia, South Africa, Tanzania, the United Arab Emirates, and Vietnam. The company was formerly known as Actidev Inc. and changed its name to Alimentation Couche-Tard Inc. in December 1994. Alimentation Couche-Tard Inc. was founded in 1980 and is headquartered in Laval, Canada.",Specialty Retail,Consumer Cyclical,Canada,True,9043399680.0,73289203712.0,BBB+,BBB+,0.0015
ANDE,"The Andersons, Inc.","The Andersons, Inc. operates as an agriculture and renewable fuels company in the United States, Canada, Mexico, and internationally. It operates through Agribusiness and Renewables segments. The Agribusiness segment sells commodities, such as corn, wheat, and soybeans. It also manufactures, distributes, and retails agricultural and related plant nutrients; and agricultural fertilizers. This segment also engages in the merchandising business, as well as offers logistics for physical commodities, such as whole grains, grain products, feed ingredients, domestic fuel products, and other agricultural commodities. The Renewables segment produces, purchases, sells, merchandises, and trades in ethanol, and co-products, as well as merchandises and trades in other biofuels, such as renewable feedstocks. The Andersons, Inc. was founded in 1947 and is based in Maumee, Ohio.",Food Distribution,Consumer Defensive,United States,False,1309048064.0,10977095680.0,,BB+,0.006
ANET,"Arista Networks, Inc.","Arista Networks, Inc. engages in the development, marketing, and sale of data-driven, client to cloud networking solutions for AI, data center, campus, and routing environments in the Americas, Europe, the Middle East, Africa, and the Asia-Pacific. Its cloud networking solutions consist of Extensible Operating System (EOS), a publish-subscribe state-sharing networking operating system offered in combination with a set of network applications. The company offers data center, cloud and AI networking, cognitive adjacencies, and cognitive network software and services. It also provides post contract customer support services, such as technical support, hardware repair and replacement parts beyond standard warranty, bug fixes, patches, and upgrade services. The company serves a range of industries comprising internet companies, cloud service providers, financial services organizations, government agencies, media and entertainment, healthcare, oil and gas, education, manufacturing, industrial, and others. It markets and sells its products through distributors, system integrators, value-added resellers, and original equipment manufacturer partners, as well as through its direct sales force. Arista Networks, Inc. was formerly known as Arastra, Inc. and changed its name to Arista Networks, Inc. in October 2008. The company was incorporated in 2004 and is headquartered in Santa Clara, California.",Computer Hardware,Technology,United States,False,0.0,9709899776.0,,BBB,0.002
ANF,Abercrombie & Fitch Co.,"Abercrombie & Fitch Co., through its subsidiaries, operates as an omnichannel retailer in the Americas, Europe, the Middle East, Africa, and the Asia-Pacific. It offers an assortment of apparel, personal care products, and accessories for men, women, and kids under the Abercrombie & Fitch, abercrombie kids, Your Personal Best, Hollister, and Gilly Hicks brands. The company sells products through its stores, various wholesale, franchise, and licensing arrangements, as well as e-commerce platforms. Abercrombie & Fitch Co. was founded in 1892 and is headquartered in New Albany, Ohio.",Apparel Retail,Consumer Cyclical,United States,True,1292477056.0,5282802176.0,BB,BB,0.01
ANFGF,Antofagasta plc,"Antofagasta plc operates as a mining company. It operates through Los Pelambres, Centinela, Antucoya, Zaldívar, Exploration and Evaluation, and Transport Division segments. The company produces copper cathodes and copper concentrates; molybdenum concentrates; and gold and silver by-products. It also provides rail and road cargo services to mining customers in northern Chile. In addition, the company has exploration projects in various countries. It has operations in the United Kingdom, Switzerland, Spain, Germany, rest of Europe, Chile, rest of Latin America, the United States, Japan, China, Singapore, South Korea, Hong Kong, and rest of Asia. The company was incorporated in 1888 and is headquartered in London, the United Kingdom. Antofagasta plc is a subsidiary of Metalinvest Anstalt.",Copper,Basic Materials,United Kingdom,True,7659400192.0,8620300288.0,BBB+,BBB-,0.003
ANN.AX,Ansell Limited,"Ansell Limited designs, sources, develops, manufactures, distributes, and sells hand and body protection solutions in the Asia Pacific, Europe, the Middle East, Africa, Latin America, the Caribbean, and North America. It operates through two segments: Healthcare and Industrial. The Healthcare segment manufactures and markets solutions, including surgical gloves, single-use and examination gloves, and clean and sterile gloves and garments, as well as consumables for hospitals, surgical centers, dental surgeries, veterinary clinics, first responders, manufacturers, auto repair shops, chemical plants, laboratories, and life sciences and pharmaceutical companies. The Industrial segment manufactures and markets hand and chemical protective clothing solutions for various industrial applications, including automotive, chemical, metal fabrication, machinery and equipment, food, construction, mining, oil and gas, utilities, logistics, and first responders. It sells provides its products under ActivArmr, AlphaTec, BioClean, EDGE, ENCORE, GAMMEX, HyFlex, Kimtech, KleenGuard, MICROFLEX, MICRO-TOUCH, RINGERS, SANDEL, TouchNTuff, and VIKING brands. The company was formerly known as Pacific Dunlop Limited and changed its name to Ansell Limited in 2002. Ansell Limited was founded in 1893 and is based in Richmond, Australia.",Medical Instruments & Supplies,Healthcare,Australia,False,833699968.0,2010200064.0,,BBB,0.002
ANPDF,ANTA Sports Products Limited,"ANTA Sports Products Limited engages in the research, design, development, manufacture, market, and sale of professional sports footwear, apparel, and accessories in China and internationally. The company's products portfolio includes running, cross-training, basketball, professional competition, training, physical education classes, outdoor sports, triathlon, golf, skiing, camping, hiking, urban outdoor, tennis, and other sports under the FILA, FILA KIDS, FILA FUSION, AMER, KOLON SPORT, JACK WOLFSKIN, ANTA, DESCENTE, and ANTA KIDS brands, as well as sports fabrics under MAIA ACTIVE brand name. It also provides logistics, property management, information technology, trademark holding, management, product design, and sports training services, as well as manufacture shoe soles. In addition, the company is involved in trading and retailing of sporting goods. It offers its products through stores and online. ANTA Sports Products Limited was founded in 1991 and is headquartered in Jinjiang, the People's Republic of China.",Leisure,Consumer Cyclical,China,True,4689798003.423874,11843939101.908255,A-,A-,0.001
ANTM.JK,PT Antam (Persero) Tbk,"PT Antam (Persero) Tbk operates as a diversified metals and mining company in Indonesia. The company operates through three segments: Nickel, Precious Metals and Refinery, and Bauxite and Alumina. The company is involved in the exploration, excavation, processing, and marketing of alumina, nickel ore, ferronickel, gold, silver, bauxite, and coal. It also engages in construction, trading, industry, mining, agriculture, printing, and ground transportation businesses; and provision of industrial area management services. In addition, the company exports its products. The company was formerly known as PT Aneka Tambang Tbk and changed its name to PT Antam (Persero) Tbk in February 2026. The company was incorporated in 1968 and is headquartered in Jakarta, Indonesia. PT Antam (Persero) Tbk operates as a subsidiary of PT Mineral Industri Indonesia (Persero).",Gold,Basic Materials,Indonesia,False,489757512.4289881,4925627061.388378,,BB+,0.006
ANTO.L,Antofagasta plc,"Antofagasta plc operates as a mining company. It operates through Los Pelambres, Centinela, Antucoya, Zaldívar, Exploration and Evaluation, and Transport Division segments. The company produces copper cathodes and copper concentrates; molybdenum concentrates; and gold and silver by-products. It also provides rail and road cargo services to mining customers in northern Chile. In addition, the company has exploration projects in various countries. It has operations in the United Kingdom, Switzerland, Spain, Germany, rest of Europe, Chile, rest of Latin America, the United States, Japan, China, Singapore, South Korea, Hong Kong, and rest of Asia. The company was incorporated in 1888 and is headquartered in London, the United Kingdom. Antofagasta plc is a subsidiary of Metalinvest Anstalt.",Copper,Basic Materials,United Kingdom,False,7659400192.0,8620300288.0,,BBB,0.002
ANTOF,"Iida Group Holdings Co., Ltd.","Iida Group Holdings Co., Ltd., together with its subsidiaries, engages in the purchase, planning, design, construction, sale, and after-sales service of detached houses and house condominiums in Japan. It is involved in the contract construction; and maintenance and renovation services, as well as offers housing performance indication system. The company was founded in 1967 and is headquartered in Tokyo, Japan.",Residential Construction,Consumer Cyclical,Japan,False,4833714614.770699,9329986220.978504,,BBB+,0.0015
ANZFF,Air New Zealand Limited,"Air New Zealand Limited, together with its subsidiaries, provides air passenger and cargo transportation on scheduled airlines services in New Zealand, Australia, the Pacific Islands, Asia, the United Kingdom, Europe, and the Americas. The company offers engineering and maintenance services, including aircraft and component maintenance, repair, and overhaul services; travel insurance, accommodation, and car rental services; and captive insurance, aviation, and aircraft leasing and financing services. As of June 30, 2025, it operated a fleet of 10 Boeing 777-300ER; 14 Boeing 787-9 Dreamliner; 13 Airbus A321neo; 6 Airbus A320neo; 17 Airbus A320ceo; 30 ATR 72-600; and 23 Bombardier Q300 aircrafts. The company was formerly known as Tasman Empire Airways Limited and changed its name to Air New Zealand Limited in April 1965. Air New Zealand Limited was incorporated in 1940 and is based in Auckland, New Zealand.",Airlines,Industrials,New Zealand,False,1872313552.0434418,3894779041.8529663,,BBB-,0.003
AO.L,AO World plc,"AO World plc, together with its subsidiaries, engages in the online retailing of domestic appliances and ancillary services in the United Kingdom and Germany. It retails fridges and freezers, laundry products, and dishwashers, as well as smart tech, computing, and TV and entertainment products through its e-commerce platforms. The company also engages in the production of content, including imagery, videos, how-to guides and lifestyle contents, and energy efficiency ratings; and operation of waste electrical and electronic equipment (WEEE) and plastics recycling facilities, as well as distribution centers. In addition, the company offers musicMagpie, a reverse supply chain platform that provides customers options to train in tech and to buy second-life products. Further, it provides logistics and transport services. The company sells its products through its website, marketplaces, and third-party websites. AO World plc was founded in 2000 and is headquartered in Bolton, the United Kingdom.",Specialty Retail,Consumer Cyclical,United Kingdom,False,85672353.17230225,1674577114.8920898,,BB+,0.006
APA,APA Corporation,"APA Corporation, an independent energy company, explores for, develops, and produces natural gas, crude oil, and natural gas liquids. The company has oil and gas operations in the United States, Egypt, and North Sea. It also has exploration and appraisal activities in Suriname, as well as holds interests in projects located in Uruguay and internationally. APA Corporation was incorporated in 1954 and is headquartered in Houston, Texas.",Oil & Gas E&P,Energy,United States,True,4536000000.0,8370999808.0,BBB-,BBB-,0.003
APAM.AS,Aperam S.A.,"Aperam S.A., together with its subsidiaries, produces and sells stainless steel and alloy products worldwide. The company operates through four segments: Stainless & Electrical Steel; Services & Solutions; Alloys & Specialties; and Recycling & Renewables. The company offers a range of stainless steel, flat stainless and electrical steel, and special carbon products. It also produces specialty grades alloys and specialties. In addition, the company engages in tubes business, as well as provision of value added and customized steel solutions. Further, it collects, trades, processes, and recycles stainless steel scrap and high-performance alloys. The company serves aerospace, automotive, construction, medical, and oil and gas industries. It distributes its products through a network of steel service centers, transformation facilities, and sales offices. The company was incorporated in 2010 and is headquartered in Luxembourg, Luxembourg.",Steel,Basic Materials,Luxembourg,False,1483094489.5744324,6873352348.324585,,BB+,0.006
APD,"Air Products and Chemicals, Inc.","Air Products and Chemicals, Inc. provides atmospheric gases, process and specialty gases, equipment, and related services in the Americas, Asia, Europe, the Middle East, India, and internationally. The company produces atmospheric gases, including oxygen, nitrogen, and argon; process gases, such as hydrogen, helium, carbon dioxide, carbon monoxide, and syngas; and specialty gases for customers in various industries, including refining, chemical, metals, manufacturing, electronics, energy production, medical, food, chemical and petrochemical manufacturing, oil and gas recovery and processing, and steel and primary metals processing. It also designs and manufactures equipment for air separation, hydrocarbon recovery and purification, natural gas liquefaction, and liquid helium and liquid hydrogen transport and storage. Air Products and Chemicals, Inc. was founded in 1940 and is headquartered in Allentown, Pennsylvania.",Specialty Chemicals,Basic Materials,United States,True,18442199040.0,12463899648.0,A,A-,0.001
APELY,"Alps Alpine Co., Ltd.","Alps Alpine Co., Ltd. manufactures and sells electronic components in Japan, China, the United States, South Korea, and internationally. It operates through three segments: Component, Sensor and Communication, and Mobility Business. The company offers TACT switches, potentiometers, HAPTIC reactors, actuators, microfluidic devices, and for automobiles, consumer appliances, mobile phones and video games. It also provides current, pressure, millimeter-wave, and magnetic sensors; and remote and analog meter monitoring systems, communication modules, and capacitive sensing modules for automotive, consumer, and industrial machinery markets. In addition, the company integrated displays, sound systems, electric shifters, power window switches, cabin controllers, functional surfaces, amplifiers and speakers, alpine premium sound systems, and customized car products. Further, it provides systems development, office, and financing and leasing services, as well as solution for car rental operators. The company was formerly known as Alps Electric Co., Ltd. and changed its name to Alps Alpine Co., Ltd. in January 2019. Alps Alpine Co., Ltd. was incorporated in 1948 and is headquartered in Tokyo, Japan.",Electronic Components,Technology,Japan,False,570584080.3993806,6303774438.793091,,BBB+,0.0015
APH,Amphenol Corporation,"Amphenol Corporation, together with its subsidiaries, designs, manufactures, and markets electrical, electronic, and fiber optic connectors in the United States, China, and internationally. It operates through three segments: Communications Solutions, Harsh Environment Solutions, and Interconnect and Sensor Systems. The company offers connectors and connector systems, including high speed, radio frequency, power, fiber optic and other interconnect products; busbars and power distribution systems; power interconnect products; and other products. It also provides value-add products, such as backplane interconnect systems, cable assemblies and harnesses, and cable management products; and other products comprising flexible and rigid printed circuit boards, hinges, other mechanical, and production related products. In addition, the company offers consumer device, network infrastructure, and other antennas; coaxial, power, and specialty cables; and sensors and sensor-based products. It sells its products through its sales force, independent representatives, and a network of electronics distributors to original equipment manufacturers, electronic manufacturing services companies, original design manufacturers, and service providers in the automotive, commercial aerospace, communications networks, defense, industrial, information technology and data communications, mobile devices markets. Additionally, the company provides telecommunication and IT networking solutions. The company was founded in 1932 and is headquartered in Wallingford, Connecticut.",Electronic Components,Technology,United States,True,18748899328.0,25903800320.0,A-,A-,0.001
APLE,"Apple Hospitality REIT, Inc.","Apple Hospitality REIT, Inc. is a publicly traded real estate investment trust that owns one of the largest and most diverse portfolios of upscale, rooms-focused hotels in the United States. Apple Hospitality's portfolio consists of 216 hotels with approximately 29,500 guest rooms located in 83 markets throughout 37 states and the District of Columbia. Concentrated with industry-leading brands, the Company's hotel portfolio consists of 114 Hilton-branded hotels, 96 Marriott-branded hotels, five Hyatt-branded hotels and one independent hotel. Apple Hospitality REIT, Inc. was established on November 08, 2007, and incorporated in 2007 in Virginia, USA.",REIT - Hotel & Motel,Real Estate,United States,False,1677920000.0,1422424960.0,,BBB-,0.003
APOG,"Apogee Enterprises, Inc.","Apogee Enterprises, Inc. engages in the provision of architectural products and services for enclosing buildings, and glass and acrylic products used for preservation, protection, and enhanced viewing in the United States, Canada, and Brazil. It operates in four segments: Architectural Metals, Architectural Glass, Architectural Services, and Performance Surfaces. The Architectural Metals segment designs, engineers, fabricates, and finishes aluminum window, curtainwall, storefront, and entrance systems for applications in non-residential construction under Tubelite, EFCO, Wasau and Linetec, and Alumicor brands. The Architectural Glass segment cuts, treats, coats, and fabricates glass used in custom window and wall systems under the Viracon and GlassecViracon brand names. The Architectural Services segment integrates technical services, project management, and field installation services to design, engineer, fabricate, and install architectural curtainwall systems and other façade-related systems under the Harmon brand. The Performance Surfaces segment develops and manufactures coated materials for a variety of applications, including wall decor, museums, graphic design, digital displays, architectural interiors, and industrial flooring under Tru Vue, ResinDEK, RDC Coatings, ChromaLuxe, and Unisub brands. Its products and services are primarily used in commercial buildings, such as office buildings, hotels, and retail centers; institutional buildings comprising education facilities, health care facilities, and government buildings; transportation facilities, such as airports and transit terminals, as well as multi-family residential buildings. The company markets its architectural products and services through direct sales force, independent sales representatives, and distributors, and glazing subcontractors and general contractors; and retail chains. The company was incorporated in 1949 and is based in Minneapolis, Minnesota.",Building Products & Equipment,Industrials,United States,False,286383008.0,1404733056.0,,BBB-,0.003
APP,AppLovin Corporation,"AppLovin Corporation provides end-to-end artificial intelligence-powered advertising solutions for businesses in the United States and internationally. It operates through two segments, Advertising and Apps. The company offers Axon Ads Manager, a suite of marketing solutions that enables developers to automate, optimize, and manage marketing efforts; MAX, an in-app bidding technology that optimizes the value of a publisher's advertising inventory by running a real-time competitive auction; Adjust, a measurement and analytics marketing platform; and Wurl, a connected TV platform, which distributes streaming video for content companies, provides advertising and publishing solutions. It serves individuals, small and independent businesses, enterprises, advertisers and advertising networks, mobile app publishers, and indie studio developers. The company was incorporated in 2011 and is headquartered in Palo Alto, California.",Advertising Agencies,Communication Services,United States,True,3849840128.0,6164192256.0,BBB,BBB,0.002
APTV,Aptiv PLC,"Aptiv PLC, an industrial technology company, provides hardware and software solutions to support automotive and other industries in North America, Europe, the Middle East, Africa, the Asia Pacific, and South America. It operates through three segments: Advanced Safety and User Experience, Engineered Components, and Electrical Distribution Systems. The company offers active safety, user experience and smart vehicle compute, and software products for vehicle safety and security, including intelligent sensors, compute platforms, and software tools and services. It also provides connection systems, interconnects, and cable management and protection solutions for the distribution of power, signal, and data. Aptiv PLC was incorporated in 2011 and is based in Schaffhausen, Switzerland.",Auto Parts,Consumer Cyclical,Switzerland,True,9886000128.0,20658999296.0,BBB,BBB,0.002
AQN,Algonquin Power & Utilities Corp.,"Algonquin Power & Utilities Corp. operates in the power and utility industries. It owns and operates a portfolio of regulated electric, water distribution and wastewater collection, and natural gas utility systems and transmission operations. As of December 31, 2025, it operated a portfolio of regulated utility systems in the United States, Canada, Bermuda, and Chile, serving approximately 1,272,000 customer connections. Its regulated electrical distribution utility systems and related transmission and generation assets are located in the states of Arkansas, California, Kansas, Missouri, Nevada, New Hampshire, and Oklahoma, as well as in Bermuda with approximately 311,000 electric customer connections. Its regulated water distribution and wastewater utility systems are located in the states of Arizona, Arkansas, California, Illinois, Missouri, New York, and Texas, as well as in Chile with approximately 583,000 customer connections. It's regulated natural gas distribution utility systems are located in the states of Georgia, Illinois, Iowa, Massachusetts, Missouri, New Hampshire, and New York; and in the Canadian province of New Brunswick with approximately 378,000 natural gas customer connections. It also owns and operates generating assets with a gross capacity of approximately 2.0 gigawatt (GW) and has investments in generating assets with approximately 0.3 GW of net generation capacity. It generates and sells hydroelectric energy in Canada, and capacity and renewable attributes are produced by its portfolio of 14 hydroelectric power generation facilities located in the provinces of Alberta, Ontario, New Brunswick, and Quebec. As of December 31, 2025, it had a combined gross generating capacity of approximately 112 megawatts (MW) and a combined net generating capacity of approximately 105 MW. The company was formerly known as Traduction Militech Translation Inc. in October 2009. The company was incorporated in 1988 and is headquartered in Oakville, Canada.",Utilities - Diversified,Utilities,Canada,True,6716899840.0,2533600000.0,BBB,BBB-,0.003
AR,Antero Resources Corporation,"Antero Resources Corporation, an independent oil and natural gas company, engages in the development, production, exploration, and acquisition of natural gas, natural gas liquids (NGLs), and oil properties in the United States. It operates in three segments: Exploration and Production; Marketing; and Equity Method Investment in Antero Midstream. As of December 31, 2025, the company had approximately 537,000 net acres in the Appalachian Basin; and approximately 168,000 net acres in the Upper Devonian Shale. Its gathering and compression systems also comprise 731 miles of gas gathering pipelines in the Appalachian Basin. The company was formerly known as Antero Resources Appalachian Corporation and changed its name to Antero Resources Corporation in June 2013. Antero Resources Corporation was incorporated in 2002 and is headquartered in Denver, Colorado.",Oil & Gas E&P,Energy,United States,True,4750665216.0,5625670144.0,BBB-,BBB-,0.003
ARC.F,Aker BP ASA,"Aker BP ASA engages in the exploration, field development, and production of oil and gas on the Norwegian Continental Shelf. It operates field centers, including Valhall, Ula, Edvard Grieg/Ivar Aasen, Alvheim, and Skarv. The company was formerly known as Det norske oljeselskap ASA and changed its name to Aker BP ASA in October 2016. Aker BP ASA was founded in 2001 and is headquartered in Lysaker, Norway.",Oil & Gas E&P,Energy,Norway,False,9788099584.0,10804500480.0,,BBB-,0.003
ARCAD.AS,Arcadis NV,"Arcadis NV engages in the design, engineering, architecture, and consultancy solutions for natural and built assets in The Americas, Europe, the Middle East, and the Asia Pacific. The company operates through Places, Mobility, Resilience, and Intelligence segments. It provides architecture and urbanism services; and asset management services, such as asset management strategy and planning, asset management decision making and operational optimization, life cycle planning and asset management systems, asset information/condition assessment, risk and review, organization and people, and asset management/O&M. The company also provides business advisory services, including asset strategy and performance, business transformation and resiliency, investment and finance, operations and maintenance, and technology and information; contract solutions; cost and commercial management services; and design and engineering solutions for highways, railways, bridges, tunnels, power utilities, water utilities, ports and waterways, geotechnics, architecture, and structures, as well as building mechanical, electrical, and plumbing. In addition, it offers digital environmental health safety and sustainability, environmental restoration, and project management solutions. Further, the company provides mobility solutions for connected highways, intelligent rail and transit, integrated airports, and new mobility; places solutions; resilience solutions, such as energy transition, climate adaption, water optimization, enviro socio permitting, sustainable advisory, environmental restoration, and sustainable operations; and water supply and treatment, distribution, resource management, and industrial water and wastewater services. The company was formerly known as Heidemij NV and changed its name to Arcadis N.V. in October 1997. The company was founded in 1888 and is headquartered in Amsterdam, the Netherlands.",Engineering & Construction,Industrials,Netherlands,False,1297421145.439148,5587392080.310059,,BBB,0.002
ARCB,ArcBest Corporation,"ArcBest Corporation, an integrated logistics company, provides ground, air, and ocean transportation solutions worldwide. It operates in two segments, Asset-Based and Asset-Light. The Asset-Based segment provides less-than-truckload (LTL) services that transports general commodities, such as food, textiles, apparel, furniture, appliances, chemicals, non-bulk petroleum products, rubber, plastics, metal and metal products, wood, glass, automotive parts, machinery, and miscellaneous manufactured products. This segment also offers motor carrier freight transportation services to customers in Mexico through arrangements with trucking companies. The Asset-Light segment provides ground expedite services; third-party transportation brokerage services by sourcing various capacity solutions, including dry van over-the-road, temperature-controlled and refrigerated, flatbed, intermodal or container shipping, and specialized equipment; less-than-container and full container load ocean transportation services; warehousing and distribution services; managed transportation services; and moving services to do-it-yourself' consumer, as well as final mile, time critical, product launch, retail logistics, supply chain optimization, brokered LTL, and trade show shipping services. This segment also offers premium logistics services, such as deployment of specialized equipment to meet linehaul requirements; and international freight transportation with air, ocean, and ground services. The company was formerly known as Arkansas Best Corporation and changed its name to ArcBest Corporation in May 2014. The company was founded in 1923 and is headquartered in Fort Smith, Arkansas.",Trucking,Industrials,United States,False,460088000.0,4041867008.0,,BBB-,0.003
ARCLK.IS,Arçelik Anonim Sirketi,"Arçelik Anonim Sirketi, together with its subsidiaries, produces, markets, sells, after sales services, imports, and exports consumer durable goods and electronics in Turkey, Europe, the Asia Pacific, Africa, and internationally. It operates through White Goods, Consumer Electronics, and Other segments. It offers refrigerators, freezers, washing machines, dryers, dishwashers, ovens, microwave ovens, furnaces, hoods, mini-midi ovens, waring drawers, water dispensers, water purifiers, air conditioners, combi boilers, kettles, room heaters, fans, solar panels, inverters, sun junior energy storage system, solar UPS, folding solar panel, solar backpacks, vehicle charging devices, heat pumps, televisions, smartphones, laptop and tablets, POS cash register, portable sound system, brooms, cooking utensils, irons, hygiene products, hermetic compressors, and motor pumps. The company provides its products under the Altus, Arctic, Blomberg, Hitachi, Dawlance, Arçelik, Singer, Bauknecht, Ignis, Polar, Privileg, Beko, Defy, Indesit, Elektrabregenz, Flavel, Grundig, Hotpoint, Ariston, Leisure, and VoltasBeko brand names. Arçelik Anonim Sirketi was incorporated in 1955 and is based in Istanbul, Turkey.","Furnishings, Fixtures & Appliances",Consumer Cyclical,Turkey,False,5373580466.200646,11025756403.361322,,BBB-,0.003
ARCO,Arcos Dorados Holdings Inc.,"Arcos Dorados Holdings Inc. operates as a franchisee of McDonald's restaurants. It has the exclusive right to own, operate, and grant franchises of McDonald's restaurants in 21 countries and territories in Latin America and the Caribbean, including Argentina, Aruba, Brazil, Chile, Colombia, Costa Rica, Curacao, Ecuador, French Guiana, Guadeloupe, Martinique, Mexico, Panama, Peru, Puerto Rico, Trinidad and Tobago, Uruguay, the U.S. Virgin Islands of St. Croix and St. Thomas, and Venezuela. Arcos Dorados Holdings Inc. was founded in 2007 and is based in Montevideo, Uruguay.",Restaurants,Consumer Cyclical,Uruguay,True,2165515008.0,4817630208.0,BBB-,BBB,0.002
ARE,"Alexandria Real Estate Equities, Inc.","Alexandria Real Estate Equities, Inc., an S&P 500 company, is a best-in-class, mission-driven life science REIT making a positive and lasting impact on the world. With our founding, Alexandria pioneered the life science real estate niche. Alexandria is the preeminent and longest-tenured owner, operator and developer of collaborative Megacampus ecosystems in AAA life science innovation cluster locations, including Greater Boston, the San Francisco Bay Area, San Diego, Seattle, Maryland, Research Triangle and New York City. Alexandria Real Estate Equities, Inc. is based in Pasadena, California and is established in January 05, 1994, and incorporated in Maryland.",REIT - Office,Real Estate,United States,True,12878605312.0,2930149120.0,BBB+,BBB+,0.0015
ARE.TO,Aecon Group Inc.,"Aecon Group Inc., together with its subsidiaries, provide construction and infrastructure development services to private and public sector clients in Canada, the United States, and internationally. It operates through two segments, Construction and Concessions. The Construction segment focuses on civil infrastructure, urban transportation solutions, nuclear power infrastructure, utility infrastructure, and industrial infrastructure market sectors. The Concessions segment engages in the development, financing, building, and operation of construction projects by way of public-private partnership contract structures. This segment also provides development of domestic international public-private partnership; private finance solution; developing strategic partnerships; leading and/or participating in development teams; and operations and maintenance of infrastructure assets services. Aecon Group Inc. was formerly known as Prefac Concrete Co. Ltd. and changed its name to Aecon Group Inc. in June 2001. The company was founded in 1867 and is headquartered in Toronto, Canada.",Engineering & Construction,Industrials,Canada,False,456639082.69885254,3972385364.1932373,,BBB-,0.003
ARKAY,Arkema S.A.,"Arkema S.A., together with its subsidiaries, manufactures and sells specialty materials in Europe, the United States, Canada, Mexico, China, Hong Kong, Taiwan, and internationally. It operates in three segments: Adhesive Solutions, Advanced Materials and Coating Solutions, and Intermediates. The company provides solutions for construction, renovation of buildings, and DIY; high performance adhesives for durable goods, and adhesive solutions for packaging and non-woven; and supplies technologies used in building activities for businesses and individuals, including sealants, tiles, flooring adhesives and waterproofing systems, and technologies used in automotive, textiles, glazing, flexible and rigid packaging, and hygiene markets. It also offers high performance polymers, such as specialty polyamides, PVDF, polyimides, fluorospecialties, and PEKK; and performance additives comprising interface agents combining specialty surfactants, molecular sieves, organic peroxides, thiochemicals, and hydrogen peroxide. In addition, the company provides lightweighting, new energies, access to water, bio-based products, and recycling solutions for automotive and transportation sectors, oil and gas, renewable energies, consumer goods, electronics, construction, coatings, animal nutrition and water treatment. Further, it offers coating solutions, including EU/US acrylics and coating resins; coating additives, such as sartomer photocure resins, and coatex rheology additives and specialties; decorative paints, industrial coatings, and adhesives; and solutions for applications in the paper, superabsorbent, water treatment and oil and gas extraction, and 3D printing and electronics markets. Additionally, the company provides fluorogases and asia acrylics; and industrial intermediate chemicals for construction, refrigeration and air conditioning, automotive, coatings, and water treatment sectors. Arkema S.A. was incorporated in 2003 and is headquartered in Puteaux, France.",Specialty Chemicals,Basic Materials,France,True,4898452539.761353,10165156588.562012,BBB+,BBB,0.002
ARLUF,Aristocrat Leisure Limited,"Aristocrat Leisure Limited, together with its subsidiaries, operates as a gaming content and technology company in Australia and internationally. It operates through three segments: Aristocrat Gaming, Product Madness, and Aristocrat Interactive. The company designs, develops, assembles, distributes, sells, and services gaming content, platforms, and systems, including electronic gaming machines, casino management systems, and iLottery and free-to-play mobile games. It also offers product madness, a publisher in the social casino genre of free-to-play mobile games; aristocrat gaming, a regulated land-based gaming; and Aristocrat Interactive, a regulated online real money gaming. Aristocrat Leisure Limited was founded in 1950 and is headquartered in North Ryde, Australia.",Gambling,Consumer Cyclical,Australia,True,1325185531.1147766,4405868857.211548,BBB,BBB,0.002
ARMK,Aramark,"Aramark provides food and facilities services to education, healthcare, business and industry, sports, leisure, and corrections clients in the United States and internationally. The company operates in two segments, Food and Support Services United States, and Food and Support Services International. It offers food-related managed services, including dining, catering, food service management, and convenience-oriented retail services; non-clinical food and food-related support services, such as patient food and nutrition, retail food, environmental services, and procurement services; and plant operations and maintenance, custodial/housekeeping, energy management, grounds keeping, and capital project management services. The company also provides on-site restaurants, catering, convenience stores, and executive dining services; beverage and vending services; and facility management services comprising landscaping, transportation, capital program management, payment services, and other facility consulting services relating to building operations. In addition, it offers concessions, banquet, and catering services; retail services and merchandise sale, recreational, and lodging services; and facility management services at sports, entertainment, and recreational facilities. Further, the company offers correctional food; and operates commissaries, laundry facilities, and property rooms. The company was formerly known as ARAMARK Holdings Corporation. Aramark was founded in 1959 and is based in Philadelphia, Pennsylvania.",Specialty Business Services,Industrials,United States,True,6424145920.0,19413805056.0,BB,BB+,0.006
